"Product ID","Product Name","Category","Brand","Unit Size","Price","Stock Quantity","Reorder Level","Location","Organic","Discount Available","Supplier","Expiration Date","Shelf Life (days)","Popularity Score","Seasonal Item","Online Availability","Weight (grams)","Dimensions (cm)","Barcode","Origin Country","Allergens","Rating","Reviews Count","Promotional Price"
161189,"Paper Towels","Snacks","BrandC","500g",36.99,425,72,"Aisle 3","Yes","Yes","Supplier13","2024-12-05",218,2.23,"Yes","No",1499,"30x45x8",364295272650,"India","Nuts",4.5,131,32.65
773612,"Apples","Bakery","BrandE","1kg",9.88,179,80,"Produce Section","Yes","No","Supplier15","2024-02-27",293,3.17,"No","Yes",4104,"40x18x14",743059762668,"Canada","None",1.2,311,7.58
724820,"Cola","Frozen","BrandB","500g",3.92,339,21,"Aisle 1","Yes","Yes","Supplier2","2024-05-26",229,3.72,"No","No",1850,"32x18x18",303356264874,"China","None",1.6,215,3.62
542257,"Chips","Pantry","BrandD","2L",41.17,108,46,"Refrigerated","No","Yes","Supplier5","2024-01-23",291,1.42,"No","Yes",3076,"48x28x5",848336351349,"China","Gluten",1.6,741,37.37
620105,"Chips","Pantry","BrandB","250ml",41.38,80,65,"Produce Section","Yes","Yes","Supplier14","2024-04-23",188,3.74,"Yes","No",740,"25x14x12",494855869882,"USA","None",1.1,895,36.21
178039,"Ground Beef","Meat","BrandC","1L",24.5,477,51,"Produce Section","No","Yes","Supplier10","2024-09-07",172,1.98,"Yes","No",1757,"17x45x6",270892147529,"Canada","Soy",1.6,468,19.6
778658,"Canned Beans","Pantry","BrandD","750g",45.05,132,27,"Refrigerated","Yes","Yes","Supplier13","2024-07-19",120,3.75,"No","Yes",1647,"31x49x19",606052289794,"China","Soy",1.3,25,33.05
526300,"Canned Beans","Frozen","BrandE","1L",15.97,168,76,"Produce Section","Yes","Yes","Supplier2","2024-01-29",28,1.81,"No","No",3188,"15x48x15",357138844744,"India","None",3.5,560,13.26
309549,"Milk","Frozen","BrandA","500g",5.47,260,99,"Aisle 1","No","No","Supplier18","2024-06-29",9,4.44,"Yes","Yes",4102,"12x12x11",211616046193,"Mexico","Dairy",2.8,528,5.17
304721,"Apples","Beverages","BrandB","6-pack",27.87,236,99,"Refrigerated","No","Yes","Supplier20","2024-10-24",263,4.14,"No","No",4043,"48x32x6",967805433529,"China","None",2.2,126,21.15
271440,"Cookies","Beverages","BrandC","750g",47.28,152,77,"Aisle 1","Yes","Yes","Supplier14","2024-06-27",351,3.12,"No","No",4128,"29x30x8",684930046615,"Brazil","None",1.9,393,33.11
895138,"Apples","Pantry","BrandE","1kg",37.68,236,100,"Produce Section","Yes","No","Supplier3","2024-04-07",254,2.81,"No","Yes",4052,"16x30x18",625896816859,"Brazil","Dairy",3.6,291,34.99
575996,"Chips","Household","BrandB","1kg",40.39,296,15,"Aisle 2","Yes","No","Supplier20","2024-02-22",33,2.3,"Yes","Yes",3028,"12x42x14",157554717932,"USA","Gluten",1.1,423,33.25
672676,"Canned Beans","Bakery","BrandE","750g",37.48,443,90,"Freezer","Yes","Yes","Supplier13","2024-10-14",221,4.34,"No","No",3936,"46x23x19",247990260063,"Mexico","Soy",2.6,406,28.6
976114,"Pasta","Dairy","BrandD","6-pack",30.57,401,58,"Refrigerated","Yes","Yes","Supplier5","2024-04-21",257,1.43,"No","Yes",4622,"25x46x20",271520369226,"India","Dairy",3.8,275,22.37
649074,"Paper Towels","Snacks","BrandB","1L",22.8,318,69,"Produce Section","Yes","Yes","Supplier20","2024-04-18",256,3.34,"Yes","No",363,"46x40x20",953583087572,"Brazil","None",2.4,513,17.54
129440,"Tea","Meat","BrandA","1kg",35.9,331,20,"Freezer","No","Yes","Supplier20","2024-08-01",209,1.01,"Yes","Yes",1599,"35x11x9",923381832940,"Mexico","None",1.8,800,28.86
296311,"Carrots","Frozen","BrandD","1kg",24.29,332,25,"Aisle 2","No","No","Supplier4","2024-04-05",142,2.48,"No","Yes",2910,"47x37x13",920661400031,"Mexico","Soy",3.1,242,18.88
728518,"Salmon Fillet","Meat","BrandE","12-pack",22.94,22,14,"Refrigerated","Yes","No","Supplier4","2024-07-15",316,1.57,"No","No",3483,"26x36x10",630287855246,"India","Dairy",1.7,129,16.82
882600,"Croissant","Seafood","BrandE","12-pack",6.4,354,75,"Aisle 2","No","No","Supplier16","2024-05-15",309,1.75,"Yes","Yes",3808,"38x22x19",630202106163,"Canada","Nuts",3.5,505,5.09
716279,"Ice Cream","Produce","BrandD","1kg",21.56,348,19,"Refrigerated","Yes","Yes","Supplier4","2024-12-29",270,4.3,"No","Yes",2802,"26x19x13",305841353386,"Mexico","None",1.4,361,17.41
574514,"Ice Cream","Bakery","BrandA","1kg",33.32,447,69,"Refrigerated","No","No","Supplier2","2024-09-28",169,4.74,"No","Yes",2315,"49x50x14",119313179528,"Mexico","Gluten",2.1,455,30.64
914162,"Tea","Bakery","BrandD","12-pack",29.86,105,90,"Produce Section","No","No","Supplier9","2024-08-22",293,1.64,"No","No",1324,"42x34x11",925017191649,"Canada","Gluten",4.7,919,24.34
538224,"Frozen Pizza","Pantry","BrandA","500g",21.5,307,91,"Freezer","No","Yes","Supplier8","2024-10-21",149,2.57,"No","No",1857,"23x46x13",813831727409,"Canada","None",3.1,68,19.89
137389,"Chips","Snacks","BrandE","500g",33.62,309,66,"Refrigerated","No","No","Supplier11","2024-09-03",42,4.0,"Yes","No",3263,"11x24x10",281504091167,"USA","Nuts",4.3,932,31.18
351156,"Tea","Produce","BrandD","750g",21.94,146,10,"Aisle 1","No","Yes","Supplier19","2024-03-18",322,1.27,"No","Yes",2453,"26x37x14",138868746617,"China","Gluten",2.3,937,18.26
336398,"Paper Towels","Dairy","BrandB","6-pack",44.56,94,41,"Aisle 3","Yes","No","Supplier20","2024-11-13",233,3.71,"No","No",2142,"28x35x15",112281438236,"Canada","Soy",4.2,493,39.24
867547,"Tea","Dairy","BrandB","2L",20.05,493,36,"Aisle 2","Yes","No","Supplier2","2024-11-26",240,4.56,"No","No",847,"46x32x19",430507591977,"Mexico","None",4.0,936,15.45
319899,"Carrots","Snacks","BrandB","1kg",48.37,317,26,"Aisle 1","No","No","Supplier3","2024-02-18",334,4.18,"Yes","No",1709,"40x20x6",118080531166,"China","None",2.1,414,39.65
258270,"Shrimp","Snacks","BrandB","2L",8.9,56,91,"Refrigerated","Yes","No","Supplier2","2024-11-14",320,2.11,"Yes","Yes",2160,"30x18x18",928671299413,"Brazil","Soy",2.0,444,6.58
722491,"Ice Cream","Seafood","BrandC","1L",40.58,462,93,"Aisle 1","No","Yes","Supplier1","2024-08-18",153,3.19,"No","No",3460,"33x47x7",197977404221,"Brazil","Gluten",2.5,513,31.34
723989,"Cookies","Household","BrandE","500g",49.38,246,81,"Aisle 3","No","No","Supplier11","2024-12-16",192,3.8,"No","No",4450,"48x18x5",695878673079,"USA","None",1.4,818,45.6
775542,"Carrots","Frozen","BrandD","250ml",38.66,140,36,"Aisle 1","No","Yes","Supplier19","2024-03-27",340,4.42,"No","No",2195,"31x27x18",800468634822,"China","Gluten",4.6,62,31.07
195621,"Bread","Seafood","BrandA","1kg",39.84,394,38,"Aisle 2","Yes","No","Supplier2","2024-11-12",229,1.12,"No","No",4900,"39x33x12",592237731933,"India","Soy",2.6,540,29.5
768846,"Paper Towels","Beverages","BrandA","2L",24.25,448,29,"Refrigerated","No","Yes","Supplier15","2024-05-16",96,4.02,"No","Yes",786,"26x30x6",263723634250,"China","None",3.3,593,18.69
826408,"Cheese","Dairy","BrandA","500g",44.98,320,77,"Refrigerated","Yes","No","Supplier20","2024-06-08",90,4.88,"No","Yes",3222,"35x23x14",776227652019,"China","Nuts",2.3,61,37.87
684116,"Tea","Dairy","BrandB","250ml",18.38,475,41,"Produce Section","No","No","Supplier9","2024-10-06",294,1.11,"Yes","Yes",4790,"43x35x12",401538442630,"Canada","Nuts",4.1,738,14.7
284566,"Ice Cream","Dairy","BrandA","12-pack",29.74,70,36,"Freezer","Yes","No","Supplier1","2024-05-01",236,1.57,"No","Yes",667,"50x34x7",957781918748,"Mexico","Nuts",4.2,901,24.7
460065,"Milk","Seafood","BrandD","1kg",7.88,284,93,"Refrigerated","Yes","Yes","Supplier14","2024-10-14",348,3.12,"Yes","No",950,"14x47x10",507452191614,"USA","None",1.9,474,7.48
356268,"Cola","Beverages","BrandD","250ml",5.56,96,46,"Produce Section","Yes","Yes","Supplier12","2024-03-07",168,2.68,"No","Yes",4720,"24x17x12",278615292385,"USA","Gluten",2.7,517,4.84
549319,"Pasta","Meat","BrandC","250ml",16.16,484,64,"Aisle 1","Yes","No","Supplier15","2024-04-03",231,2.66,"Yes","No",4995,"15x45x19",264496351986,"Brazil","Nuts",4.1,230,12.63
359069,"Laundry Detergent","Frozen","BrandE","250ml",15.31,54,40,"Produce Section","No","Yes","Supplier17","2024-07-28",185,4.55,"No","Yes",4254,"30x13x10",336934277662,"Canada","None",1.2,686,13.3
946390,"Paper Towels","Pantry","BrandB","12-pack",19.98,181,66,"Refrigerated","Yes","No","Supplier17","2024-12-15",66,2.29,"Yes","Yes",4653,"32x18x20",649797233190,"India","None",4.0,527,15.33
997622,"Tea","Bakery","BrandB","12-pack",33.66,198,68,"Produce Section","Yes","Yes","Supplier5","2024-04-05",330,4.79,"Yes","Yes",669,"26x25x18",881059534228,"China","Soy",3.3,556,23.85
120760,"Bread","Seafood","BrandC","750g",35.89,291,57,"Freezer","Yes","No","Supplier13","2024-03-23",343,4.3,"Yes","Yes",1618,"24x34x6",439496145880,"Brazil","Nuts",2.0,391,30.03
936716,"Cheese","Frozen","BrandD","2L",3.16,325,72,"Aisle 1","Yes","Yes","Supplier20","2024-07-08",17,3.01,"Yes","Yes",3208,"35x48x15",670144265188,"Brazil","Gluten",2.3,407,2.58
889523,"Laundry Detergent","Produce","BrandA","1L",3.11,11,42,"Freezer","No","Yes","Supplier1","2024-02-21",242,3.97,"Yes","Yes",2346,"10x11x13",747044719264,"Mexico","Dairy",2.7,892,2.4
238129,"Cheese","Seafood","BrandE","750g",29.89,247,49,"Produce Section","Yes","No","Supplier12","2024-02-20",38,1.69,"Yes","Yes",3510,"39x37x11",560259261745,"USA","Soy",3.5,699,25.28
982525,"Ice Cream","Beverages","BrandD","6-pack",10.51,163,72,"Refrigerated","No","Yes","Supplier12","2024-10-18",184,4.91,"Yes","Yes",473,"30x12x9",949876233095,"Brazil","None",3.5,564,9.65
725811,"Frozen Pizza","Bakery","BrandE","12-pack",42.26,268,13,"Aisle 1","Yes","Yes","Supplier17","2024-10-13",316,4.65,"Yes","No",674,"20x31x15",986894970231,"Brazil","Dairy",2.0,238,37.1
379569,"Laundry Detergent","Snacks","BrandA","500g",35.6,164,31,"Produce Section","Yes","No","Supplier13","2024-12-09",184,4.61,"No","No",4183,"44x18x17",442972031830,"Brazil","Nuts",3.0,712,26.9
788576,"Chips","Dairy","BrandB","2L",21.47,454,62,"Produce Section","Yes","No","Supplier13","2024-12-09",330,1.76,"Yes","Yes",2472,"37x43x19",981840812429,"USA","Gluten",3.0,195,17.55
684851,"Apples","Snacks","BrandA","1L",35.72,458,81,"Aisle 3","Yes","Yes","Supplier15","2024-02-20",84,4.38,"No","No",3426,"10x42x9",639943765146,"Mexico","None",5.0,431,29.3
897622,"Croissant","Household","BrandC","2L",40.09,5,86,"Aisle 2","No","Yes","Supplier13","2024-01-02",322,3.92,"Yes","Yes",942,"46x10x5",907027385530,"Canada","Nuts",3.4,178,32.45
457851,"Paper Towels","Pantry","BrandD","1kg",39.7,492,58,"Aisle 2","Yes","No","Supplier18","2024-07-07",245,2.01,"Yes","No",3393,"37x27x16",252119363876,"Canada","Nuts",4.1,755,33.11
461415,"Canned Beans","Seafood","BrandC","12-pack",37.02,157,23,"Aisle 1","Yes","Yes","Supplier9","2024-04-07",53,4.16,"No","Yes",3982,"29x22x17",998953471659,"India","Soy",2.2,571,25.93
896598,"Cookies","Meat","BrandD","1L",36.67,259,82,"Freezer","Yes","Yes","Supplier11","2024-10-12",51,2.11,"No","No",4964,"43x47x17",967165985105,"Brazil","Nuts",2.7,902,26.27
449677,"Salmon Fillet","Frozen","BrandC","2L",33.69,69,91,"Aisle 1","Yes","No","Supplier14","2024-05-10",6,3.79,"Yes","Yes",3033,"46x42x8",657975817552,"USA","Nuts",4.5,56,26.48
611321,"Cola","Frozen","BrandD","2L",20.52,116,59,"Aisle 2","No","Yes","Supplier18","2024-09-05",201,1.59,"Yes","Yes",751,"27x34x12",368293026804,"Brazil","Gluten",4.7,891,16.29
628519,"Cookies","Pantry","BrandA","500g",29.4,248,73,"Produce Section","No","No","Supplier6","2024-01-06",127,3.53,"No","No",2061,"33x23x18",827001151736,"Canada","Dairy",4.5,582,26.66
299991,"Canned Beans","Household","BrandA","1L",46.08,242,66,"Freezer","Yes","No","Supplier19","2024-12-05",44,2.39,"Yes","Yes",4816,"22x16x16",804618985576,"Brazil","Soy",3.8,797,41.32
444585,"Chips","Frozen","BrandA","6-pack",32.48,8,43,"Aisle 1","Yes","Yes","Supplier13","2024-02-09",258,1.91,"Yes","No",1979,"41x26x14",702434496346,"USA","Dairy",4.3,427,28.39
747971,"Salmon Fillet","Household","BrandD","250ml",6.01,442,86,"Aisle 2","Yes","Yes","Supplier18","2024-06-26",116,1.43,"Yes","Yes",2691,"21x47x10",702972968030,"China","Dairy",1.5,397,5.58
865090,"Cookies","Meat","BrandC","2L",44.33,137,25,"Aisle 2","No","Yes","Supplier3","2024-11-07",80,1.81,"Yes","No",3675,"48x14x7",549020679169,"India","Soy",2.7,363,31.16
788135,"Frozen Pizza","Beverages","BrandA","6-pack",39.64,179,44,"Freezer","Yes","Yes","Supplier13","2024-04-03",261,1.62,"Yes","No",242,"42x41x9",685543957306,"Mexico","Dairy",1.6,577,29.95
284957,"Cookies","Seafood","BrandA","1kg",37.83,288,56,"Freezer","No","No","Supplier3","2024-05-16",75,3.6,"Yes","No",1177,"21x12x9",664270160719,"Brazil","Nuts",3.6,556,33.48
790872,"Cheese","Snacks","BrandD","1L",18.88,337,44,"Refrigerated","Yes","Yes","Supplier19","2024-08-09",188,2.7,"No","Yes",4998,"21x26x19",789337715051,"China","Gluten",1.7,500,15.34
302325,"Bread","Bakery","BrandB","6-pack",2.33,172,72,"Aisle 2","Yes","No","Supplier20","2024-02-17",77,1.68,"No","No",3772,"45x21x10",916183369443,"Mexico","Soy",3.4,179,2.14
559847,"Carrots","Produce","BrandB","750g",23.52,197,47,"Produce Section","Yes","No","Supplier20","2024-01-12",85,3.98,"Yes","No",3302,"30x45x10",823000619006,"China","Gluten",3.4,908,20.07
715453,"Milk","Dairy","BrandD","2L",10.03,198,19,"Produce Section","No","No","Supplier7","2024-03-17",151,4.44,"Yes","Yes",4446,"35x20x12",787689364759,"Mexico","None",3.0,871,7.69
998994,"Salmon Fillet","Seafood","BrandE","2L",26.06,8,26,"Aisle 2","Yes","No","Supplier10","2024-07-02",84,4.35,"Yes","Yes",4629,"29x15x18",741196244113,"India","Soy",2.5,262,20.39
794910,"Carrots","Snacks","BrandB","250ml",48.07,261,90,"Refrigerated","Yes","No","Supplier17","2024-05-21",11,3.93,"Yes","No",2325,"49x26x18",984472414664,"Brazil","Dairy",4.6,377,44.56
226583,"Milk","Seafood","BrandB","6-pack",21.93,67,95,"Refrigerated","Yes","No","Supplier13","2024-12-21",313,2.36,"No","No",635,"26x18x14",536638103257,"China","Dairy",2.0,861,20.82
869176,"Cookies","Frozen","BrandB","1L",38.42,400,64,"Produce Section","Yes","No","Supplier5","2024-08-09",286,3.76,"No","No",3681,"15x39x10",173023800374,"Brazil","Gluten",4.5,644,35.12
876028,"Ice Cream","Seafood","BrandE","12-pack",21.5,155,27,"Aisle 3","Yes","Yes","Supplier8","2024-06-15",179,4.93,"No","Yes",2833,"21x37x9",655553658273,"Canada","None",1.5,227,18.31
558886,"Ground Beef","Beverages","BrandA","12-pack",46.56,291,90,"Freezer","Yes","No","Supplier6","2024-07-26",332,1.4,"Yes","Yes",667,"47x18x19",410773961803,"Canada","Nuts",3.4,545,33.8
123763,"Carrots","Beverages","BrandB","12-pack",42.94,421,87,"Aisle 3","No","No","Supplier13","2024-04-26",173,3.28,"No","No",3590,"49x38x18",625616433535,"India","Dairy",1.4,328,31.26
105340,"Salmon Fillet","Snacks","BrandA","1L",38.41,346,96,"Aisle 2","Yes","No","Supplier2","2024-05-03",135,1.42,"Yes","No",942,"15x37x18",528970585043,"China","Soy",2.4,691,34.21
729135,"Tea","Snacks","BrandE","6-pack",24.34,392,37,"Refrigerated","Yes","No","Supplier1","2024-08-14",77,3.59,"No","No",1545,"42x43x13",518180193166,"USA","None",4.3,441,22.44
157567,"Salmon Fillet","Pantry","BrandD","12-pack",15.42,41,61,"Produce Section","Yes","Yes","Supplier5","2024-02-02",144,2.4,"No","No",602,"28x46x8",836130107107,"China","Nuts",3.7,720,14.61
948348,"Apples","Beverages","BrandD","12-pack",15.43,421,39,"Aisle 1","Yes","Yes","Supplier3","2024-11-25",343,1.99,"No","No",391,"20x21x13",418480930624,"Canada","Dairy",3.9,122,12.31
820982,"Pasta","Beverages","BrandB","1L",4.79,315,25,"Aisle 3","No","No","Supplier10","2024-02-28",87,4.43,"Yes","No",247,"18x11x19",926667246603,"USA","Gluten",4.8,730,4.52
866968,"Croissant","Seafood","BrandA","12-pack",12.71,326,13,"Refrigerated","No","Yes","Supplier2","2024-10-13",250,4.24,"Yes","Yes",2459,"46x15x9",483468485411,"India","Soy",2.8,530,11.96
435674,"Laundry Detergent","Meat","BrandA","12-pack",46.12,140,75,"Aisle 1","Yes","No","Supplier5","2024-04-02",177,4.32,"No","Yes",3744,"35x20x11",855079700826,"Brazil","Dairy",4.3,50,38.42
746991,"Laundry Detergent","Dairy","BrandE","6-pack",14.98,472,45,"Freezer","No","No","Supplier17","2024-08-14",229,4.78,"Yes","Yes",2296,"28x47x12",561334027450,"India","Dairy",2.9,130,10.54
429265,"Carrots","Frozen","BrandA","2L",32.1,284,21,"Aisle 2","No","No","Supplier12","2024-08-06",331,4.12,"Yes","Yes",3633,"29x28x15",840183373882,"Mexico","Gluten",2.2,907,24.08
577494,"Cookies","Pantry","BrandE","12-pack",31.1,382,17,"Aisle 2","Yes","Yes","Supplier1","2024-11-17",240,3.41,"Yes","No",1096,"10x25x19",750169746941,"India","Dairy",4.2,18,29.14
568666,"Frozen Pizza","Beverages","BrandB","1L",33.38,34,86,"Aisle 3","Yes","No","Supplier3","2024-04-24",171,3.39,"No","Yes",4343,"41x49x8",224913774458,"Canada","Soy",2.3,890,29.55
481162,"Tea","Produce","BrandC","6-pack",38.16,178,45,"Produce Section","Yes","No","Supplier6","2024-03-06",6,2.12,"No","No",4446,"16x40x12",789286777765,"China","Gluten",1.1,168,35.49
979724,"Frozen Pizza","Seafood","BrandB","1L",4.23,346,77,"Produce Section","No","No","Supplier8","2024-12-01",87,3.46,"No","Yes",525,"32x31x10",211451517510,"Brazil","Dairy",4.7,51,3.41
760639,"Ground Beef","Produce","BrandA","2L",20.21,485,51,"Refrigerated","No","Yes","Supplier10","2024-05-20",314,1.45,"No","No",2282,"27x37x11",155611452392,"China","Dairy",3.0,737,14.75
316470,"Shrimp","Meat","BrandE","1L",49.77,163,62,"Refrigerated","No","No","Supplier2","2024-03-24",209,4.73,"Yes","No",3349,"49x40x10",812113192704,"Canada","Soy",3.5,599,35.77
260029,"Carrots","Seafood","BrandB","250ml",32.14,161,98,"Refrigerated","Yes","No","Supplier19","2024-04-23",200,1.46,"No","Yes",3069,"35x50x17",274867163824,"Canada","Soy",1.8,39,22.68
819499,"Chicken Breast","Snacks","BrandA","1kg",40.64,456,74,"Aisle 1","No","Yes","Supplier11","2024-08-20",336,1.56,"Yes","No",550,"23x45x16",635555465301,"Mexico","Dairy",2.7,357,34.25
342491,"Bread","Snacks","BrandA","750g",40.34,344,39,"Produce Section","No","No","Supplier2","2024-09-08",153,3.16,"No","No",529,"22x21x8",745768718500,"Mexico","Dairy",3.0,531,28.52
749877,"Pasta","Seafood","BrandB","2L",26.24,101,14,"Aisle 2","Yes","No","Supplier5","2024-07-15",211,2.22,"No","Yes",2766,"27x12x14",581903945694,"Mexico","None",3.5,684,22.77
697015,"Chicken Breast","Beverages","BrandC","12-pack",46.22,241,96,"Freezer","No","No","Supplier20","2024-05-12",213,1.51,"Yes","Yes",368,"46x34x10",890764131677,"USA","Dairy",2.0,522,43.0
825217,"Shrimp","Frozen","BrandB","12-pack",26.93,267,51,"Refrigerated","Yes","Yes","Supplier2","2024-03-15",95,4.52,"No","Yes",969,"23x27x15",140861428015,"Brazil","None",1.5,179,19.12
508030,"Cola","Household","BrandB","12-pack",13.11,372,28,"Aisle 1","No","Yes","Supplier1","2024-12-07",253,3.07,"No","No",1024,"10x28x20",871957271648,"Mexico","Gluten",4.0,307,11.6
458355,"Tea","Produce","BrandE","250ml",23.82,351,35,"Freezer","Yes","Yes","Supplier2","2024-10-01",218,3.36,"Yes","Yes",1871,"38x47x18",434436812423,"Canada","Dairy",4.9,248,21.32
330596,"Ground Beef","Snacks","BrandE","250ml",10.37,449,37,"Freezer","No","No","Supplier2","2024-02-21",59,3.03,"Yes","No",1085,"50x16x19",908089400932,"USA","None",4.9,693,9.66
978580,"Canned Beans","Frozen","BrandC","2L",37.45,93,10,"Produce Section","No","Yes","Supplier2","2024-02-08",280,2.95,"No","Yes",2957,"18x34x6",450606277455,"Brazil","Dairy",2.8,929,34.28
282109,"Chips","Frozen","BrandC","6-pack",36.15,61,57,"Aisle 2","No","No","Supplier10","2024-12-28",49,3.06,"No","Yes",2293,"10x44x7",942243952514,"Brazil","None",4.4,576,28.04
535761,"Tea","Frozen","BrandA","6-pack",28.25,381,36,"Refrigerated","No","No","Supplier10","2024-07-17",310,2.08,"No","Yes",3060,"39x20x12",473014223645,"Brazil","Gluten",3.2,789,19.98
453009,"Croissant","Bakery","BrandB","6-pack",38.4,365,96,"Aisle 3","Yes","Yes","Supplier11","2024-12-12",33,3.55,"No","Yes",221,"46x43x14",108532868452,"Brazil","Dairy",3.6,907,35.19
366782,"Frozen Pizza","Seafood","BrandC","2L",25.28,392,100,"Aisle 3","No","Yes","Supplier10","2024-11-05",310,3.63,"Yes","Yes",3430,"49x13x7",434865425550,"Brazil","Gluten",3.2,69,18.18
632823,"Canned Beans","Produce","BrandB","750g",21.35,430,46,"Aisle 3","Yes","Yes","Supplier15","2024-11-18",163,4.8,"Yes","No",2242,"16x13x17",203489711987,"Canada","Gluten",2.9,998,18.88
841115,"Apples","Seafood","BrandB","1L",24.64,228,38,"Aisle 1","No","No","Supplier12","2024-06-08",174,4.44,"Yes","No",4775,"21x20x7",247297144781,"USA","Gluten",4.2,729,19.61
485039,"Paper Towels","Snacks","BrandA","750g",21.57,469,21,"Refrigerated","Yes","No","Supplier13","2024-12-26",344,3.76,"Yes","No",3683,"30x48x13",733474750211,"Canada","Soy",1.3,68,18.86
711411,"Paper Towels","Produce","BrandB","12-pack",37.53,325,96,"Aisle 2","Yes","Yes","Supplier8","2024-06-20",136,1.54,"Yes","No",1266,"44x40x6",150852414270,"Mexico","Soy",4.9,319,26.85
784312,"Ground Beef","Produce","BrandA","1L",1.57,197,97,"Freezer","No","No","Supplier3","2024-04-04",53,3.57,"No","Yes",1848,"37x32x9",295787053023,"Mexico","Gluten",4.5,311,1.26
917217,"Tea","Meat","BrandE","500g",33.09,231,59,"Freezer","Yes","Yes","Supplier5","2024-05-11",233,2.61,"No","Yes",4327,"30x31x5",291470318174,"Brazil","Soy",3.1,5,25.97
482969,"Ice Cream","Seafood","BrandE","500g",11.39,356,21,"Aisle 1","Yes","Yes","Supplier4","2024-05-07",5,4.71,"Yes","No",3632,"21x12x6",380440418374,"India","Dairy",3.1,72,8.82
185365,"Salmon Fillet","Beverages","BrandC","750g",21.01,242,96,"Freezer","Yes","Yes","Supplier16","2024-09-11",267,2.16,"No","Yes",876,"15x18x7",977142443137,"Brazil","Gluten",3.1,981,19.57
697533,"Milk","Produce","BrandD","1kg",45.47,429,13,"Aisle 1","No","No","Supplier4","2024-08-16",309,1.04,"Yes","No",3423,"37x13x8",227400193980,"USA","Gluten",2.7,924,37.14
896392,"Bread","Snacks","BrandD","1kg",47.92,348,38,"Freezer","Yes","Yes","Supplier1","2024-11-09",166,1.52,"No","No",2822,"41x18x16",704357076330,"Mexico","Dairy",2.1,699,44.51
743934,"Paper Towels","Dairy","BrandC","6-pack",20.88,274,84,"Refrigerated","Yes","No","Supplier16","2024-10-21",94,1.59,"Yes","Yes",479,"49x26x8",132521401546,"USA","Soy",4.2,474,19.16
973221,"Cheese","Snacks","BrandD","2L",8.07,341,79,"Freezer","Yes","Yes","Supplier4","2024-12-07",292,1.59,"Yes","Yes",4740,"31x10x14",534031165683,"Canada","Gluten",2.1,901,7.33
414074,"Croissant","Pantry","BrandD","12-pack",39.04,341,62,"Aisle 2","No","Yes","Supplier12","2024-07-11",271,3.66,"No","Yes",1839,"18x28x17",547254059259,"China","Soy",3.6,295,31.67
829582,"Croissant","Seafood","BrandA","6-pack",48.25,98,85,"Freezer","Yes","No","Supplier5","2024-09-20",140,2.75,"Yes","No",3963,"26x38x17",436162457997,"China","Soy",3.4,373,44.17
