Order Date,Order ID,Product ID,Product Name,Customer ID,Order Value,Quantity,Shipping Method,Order Status
06/25/2024,ORD83007,P1009,External Hard Drive,CUST4977,1127.51,1,Expedited,Shipped
2020-01-27,ORD12971,P1002,Laptop,CUST7472,1753.99,2,Expedited,Pending
2025-02-01,ORD15694,P1002,Laptop,CUST9717,577.91,4,Overnight,Pending
2020-06-19,ORD11465,P1008,Bluetooth Speaker,CUST2861,139.05,3,Overnight,Cancelled
2021-03-21,ORD86730,P1002,Laptop,CUST5512,101.61,3,Overnight,Cancelled
09-19-2020,ORD72432,P1008,Bluetooth Speaker,CUST3526,310.31,1,Overnight,Delivered
2022-08-02,ORD60553,P1005,Wireless Earbuds,CUST2008,1648.47,1,Expedited,Cancelled
10/05/2022,ORD26920,P1003,Tablet,CUST6150,31.65,2,Standard,Pending
01/31/2025,ORD20368,P1007,4K TV,CUST7351,1238.3,3,Standard,Delivered
01-06-2025,ORD91006,P1006,Gaming Console,CUST4068,1608.23,3,Expedited,Cancelled
2023-11-02,ORD52313,P1004,Smartwatch,CUST5331,917.11,3,Overnight,Delivered
01-22-2021,ORD47781,P1010,Mechanical Keyboard,CUST4118,157.59,4,Overnight,Pending
05/31/2022,ORD49166,P1007,4K TV,CUST8245,1048.88,3,Expedited,Pending
2021-03-21,ORD43357,P1004,Smartwatch,CUST9579,1403.47,3,Expedited,Cancelled
2021-06-12,ORD69110,P1008,Bluetooth Speaker,CUST9198,563.91,5,Overnight,Shipped
2021-11-18,ORD84138,P1006,Gaming Console,CUST7714,1282.59,3,Standard,Delivered
2025-02-18,ORD81183,P1008,Bluetooth Speaker,CUST3374,1544.25,5,Expedited,Delivered
2025-09-17,ORD11261,P1004,Smartwatch,CUST3892,1164.29,3,Standard,Delivered
10/15/2021,ORD32163,P1009,External Hard Drive,CUST2547,1247.84,1,Overnight,Delivered
07-25-2023,ORD94189,P1001,Smartphone,CUST1264,587.35,3,Expedited,Pending
12/23/2025,ORD93556,P1007,4K TV,CUST1377,1419.05,3,Overnight,Pending
07/31/2025,ORD36995,P1008,Bluetooth Speaker,CUST7312,352.62,4,Overnight,Delivered
2025-01-03,ORD42591,P1005,Wireless Earbuds,CUST6688,1608.77,5,Expedited,Delivered
07/10/2020,ORD43413,P1002,Laptop,CUST1706,501.73,2,Expedited,Pending
2025-12-08,ORD71009,P1009,External Hard Drive,CUST5641,276.41,1,Standard,Cancelled
2020-06-13,ORD80459,P1010,Mechanical Keyboard,CUST1338,42.08,3,Overnight,Shipped
2023-05-14,ORD79365,P1008,Bluetooth Speaker,CUST2512,308.48,5,Expedited,Shipped
06-21-2025,ORD54727,P1007,4K TV,CUST2828,1118.59,5,Expedited,Pending
2024-10-09,ORD68359,P1007,4K TV,CUST3553,1982.26,1,Standard,Pending
08-26-2021,ORD65384,P1003,Tablet,CUST7850,401.8,5,Expedited,Cancelled
06-30-2025,ORD86696,P1003,Tablet,CUST8712,136.95,1,Expedited,Cancelled
08/20/2025,ORD39291,P1009,External Hard Drive,CUST4570,1204.61,2,Overnight,Cancelled
03/08/2020,ORD87769,P1010,Mechanical Keyboard,CUST5930,1613.87,1,Expedited,Shipped
03-13-2020,ORD37989,P1007,4K TV,CUST7960,1417.28,1,Overnight,Delivered
06-20-2020,ORD48633,P1005,Wireless Earbuds,CUST9668,407.73,4,Overnight,Pending
04/12/2023,ORD40502,P1001,Smartphone,CUST2998,138.59,4,Standard,Shipped
04/15/2023,ORD96658,P1008,Bluetooth Speaker,CUST3298,676.01,5,Expedited,Delivered
03-08-2021,ORD51943,P1007,4K TV,CUST9717,743.15,2,Overnight,Delivered
2020-03-25,ORD38850,P1006,Gaming Console,CUST1759,1833.3,3,Expedited,Pending
2021-09-24,ORD27774,P1009,External Hard Drive,CUST5512,426.05,2,Standard,Delivered
04/11/2022,ORD95885,P1005,Wireless Earbuds,CUST1341,910.45,3,Expedited,Pending
2020-01-20,ORD44032,P1005,Wireless Earbuds,CUST5620,1812.39,3,Expedited,Shipped
10/04/2020,ORD48829,P1007,4K TV,CUST3428,792.69,5,Standard,Shipped
03/07/2023,ORD96268,P1010,Mechanical Keyboard,CUST4287,1123.74,2,Overnight,Delivered
2022-08-16,ORD74037,P1009,External Hard Drive,CUST5512,492.21,2,Expedited,Pending
07-20-2020,ORD65172,P1007,4K TV,CUST5641,1296.55,3,Expedited,Cancelled
08/06/2020,ORD32224,P1008,Bluetooth Speaker,CUST3315,873.64,1,Overnight,Cancelled
11/16/2022,ORD18510,P1007,4K TV,CUST6911,473.4,2,Expedited,Delivered
07/23/2025,ORD24717,P1009,External Hard Drive,CUST7221,1718.0,4,Expedited,Delivered
12/18/2024,ORD87648,P1006,Gaming Console,CUST8944,951.19,1,Standard,Shipped
09/11/2024,ORD38932,P1009,External Hard Drive,CUST6347,752.24,5,Expedited,Delivered
12-23-2023,ORD85104,P1004,Smartwatch,CUST3343,1509.66,4,Overnight,Pending
2022-05-31,ORD82876,P1006,Gaming Console,CUST9240,1295.12,3,Standard,Shipped
05/10/2022,ORD95702,P1001,Smartphone,CUST3362,246.68,2,Overnight,Pending
06/27/2020,ORD25252,P1010,Mechanical Keyboard,CUST8916,510.79,5,Expedited,Cancelled
2025-06-27,ORD30722,P1004,Smartwatch,CUST3319,813.24,4,Expedited,Cancelled
02/09/2022,ORD89221,P1004,Smartwatch,CUST2486,1235.6,5,Standard,Pending
2024-08-02,ORD48608,P1007,4K TV,CUST3923,1190.43,2,Expedited,Cancelled
07-24-2023,ORD28502,P1002,Laptop,CUST1564,496.54,5,Standard,Delivered
2025-10-20,ORD48253,P1003,Tablet,CUST2008,175.5,4,Standard,Pending
11/09/2025,ORD78578,P1006,Gaming Console,CUST2512,808.88,2,Expedited,Pending
12-18-2022,ORD31648,P1008,Bluetooth Speaker,CUST3374,914.51,4,Standard,Cancelled
2025-11-22,ORD16174,P1009,External Hard Drive,CUST5985,609.98,3,Standard,Shipped
2025-11-30,ORD27447,P1007,4K TV,CUST2046,1535.23,3,Overnight,Pending
08-25-2020,ORD78254,P1008,Bluetooth Speaker,CUST4015,574.73,4,Expedited,Cancelled
2022-03-22,ORD37423,P1002,Laptop,CUST5659,1722.68,3,Standard,Cancelled
04/01/2024,ORD44455,P1004,Smartwatch,CUST2850,266.42,1,Overnight,Shipped
2025-10-15,ORD82646,P1007,4K TV,CUST5724,1499.36,2,Overnight,Cancelled
2020-05-24,ORD26066,P1002,Laptop,CUST3971,404.88,5,Expedited,Cancelled
01-13-2025,ORD93927,P1001,Smartphone,CUST9078,508.18,4,Standard,Pending
2021-11-23,ORD66116,P1005,Wireless Earbuds,CUST7168,1348.29,4,Overnight,Pending
2021-12-03,ORD54712,P1006,Gaming Console,CUST3693,1077.84,4,Expedited,Pending
2021-07-23,ORD52865,P1007,4K TV,CUST1519,932.5,5,Standard,Cancelled
02/06/2024,ORD61353,P1005,Wireless Earbuds,CUST3731,1662.69,4,Expedited,Pending
06/13/2024,ORD31529,P1009,External Hard Drive,CUST4988,1652.04,4,Overnight,Pending
2020-04-10,ORD74944,P1006,Gaming Console,CUST7681,337.12,5,Standard,Pending
2024-05-02,ORD68658,P1003,Tablet,CUST8413,451.61,4,Standard,Shipped
08/05/2025,ORD46771,P1008,Bluetooth Speaker,CUST7838,1405.31,4,Standard,Cancelled
11-07-2024,ORD49122,P1003,Tablet,CUST8134,589.58,5,Expedited,Cancelled
08-10-2023,ORD50637,P1005,Wireless Earbuds,CUST6661,777.03,2,Standard,Delivered
02/05/2024,ORD49014,P1006,Gaming Console,CUST3339,1515.59,5,Overnight,Shipped
12-23-2023,ORD25466,P1005,Wireless Earbuds,CUST3037,1109.04,1,Overnight,Delivered
03/09/2022,ORD74986,P1002,Laptop,CUST3293,330.66,3,Overnight,Shipped
06/18/2024,ORD97082,P1005,Wireless Earbuds,CUST6893,1571.43,2,Overnight,Shipped
11-04-2023,ORD55508,P1007,4K TV,CUST5969,878.63,5,Overnight,Shipped
04/14/2024,ORD61897,P1002,Laptop,CUST7654,1196.27,2,Expedited,Pending
2022-02-24,ORD64280,P1010,Mechanical Keyboard,CUST8123,1733.07,3,Standard,Pending
01/20/2022,ORD80020,P1003,Tablet,CUST4410,22.33,1,Overnight,Delivered
11-14-2025,ORD38742,P1003,Tablet,CUST3100,169.35,1,Expedited,Delivered
07-13-2025,ORD65756,P1008,Bluetooth Speaker,CUST5969,908.55,4,Expedited,Cancelled
12/20/2025,ORD95242,P1010,Mechanical Keyboard,CUST8876,365.61,2,Standard,Delivered
02/21/2022,ORD16222,P1006,Gaming Console,CUST6278,1843.28,3,Expedited,Shipped
2022-06-06,ORD20589,P1003,Tablet,CUST6893,1570.1,1,Overnight,Pending
07/09/2021,ORD11396,P1005,Wireless Earbuds,CUST5040,1517.18,1,Expedited,Delivered
07-01-2022,ORD11237,P1001,Smartphone,CUST1771,1597.85,2,Expedited,Delivered
02-16-2024,ORD17823,P1007,4K TV,CUST9354,818.33,2,Expedited,Pending
06/23/2020,ORD84290,P1007,4K TV,CUST1346,217.98,1,Expedited,Delivered
02/29/2020,ORD21349,P1007,4K TV,CUST4362,588.43,5,Standard,Shipped
2020-07-29,ORD35621,P1009,External Hard Drive,CUST7667,666.24,1,Expedited,Shipped
07-21-2023,ORD52646,P1007,4K TV,CUST9579,955.51,2,Standard,Shipped
03-31-2021,ORD88857,P1008,Bluetooth Speaker,CUST3037,1930.02,2,Standard,Pending
2025-09-25,ORD16231,P1002,Laptop,CUST7024,1663.08,3,Standard,Shipped
2025-01-26,ORD46115,P1009,External Hard Drive,CUST2347,1921.4,1,Standard,Cancelled
2021-04-24,ORD71009,P1006,Gaming Console,CUST5076,581.04,3,Overnight,Pending
2023-04-01,ORD83593,P1005,Wireless Earbuds,CUST4226,1141.32,4,Overnight,Pending
05-13-2022,ORD62211,P1007,4K TV,CUST6939,363.05,3,Standard,Cancelled
11/17/2020,ORD21685,P1006,Gaming Console,CUST6855,334.84,2,Overnight,Delivered
2025-10-17,ORD14531,P1003,Tablet,CUST7656,1829.88,4,Standard,Cancelled
08/20/2021,ORD84250,P1006,Gaming Console,CUST5045,1575.99,3,Expedited,Delivered
2023-10-05,ORD40663,P1009,External Hard Drive,CUST9984,167.78,1,Expedited,Delivered
12-29-2025,ORD37711,P1004,Smartwatch,CUST9582,1557.08,5,Overnight,Shipped
2025-04-06,ORD13705,P1004,Smartwatch,CUST6939,1058.35,1,Overnight,Shipped
02/04/2025,ORD30724,P1005,Wireless Earbuds,CUST1341,1667.32,1,Overnight,Delivered
10/06/2021,ORD79196,P1006,Gaming Console,CUST8177,963.0,2,Overnight,Cancelled
05/23/2020,ORD90650,P1010,Mechanical Keyboard,CUST3517,506.6,3,Standard,Pending
2024-05-15,ORD35456,P1008,Bluetooth Speaker,CUST6714,1428.5,4,Overnight,Shipped
04-10-2020,ORD20398,P1006,Gaming Console,CUST8123,1266.66,2,Expedited,Shipped
2024-12-22,ORD20857,P1009,External Hard Drive,CUST7990,921.18,5,Standard,Pending
2025-04-28,ORD43620,P1006,Gaming Console,CUST7968,1936.08,2,Standard,Delivered
12-16-2024,ORD51838,P1008,Bluetooth Speaker,CUST6855,1812.18,4,Expedited,Delivered
03-16-2021,ORD81151,P1006,Gaming Console,CUST2623,394.72,3,Standard,Shipped
2022-10-23,ORD84143,P1008,Bluetooth Speaker,CUST1793,851.63,3,Overnight,Cancelled
10/06/2025,ORD83495,P1006,Gaming Console,CUST4015,310.43,4,Overnight,Shipped
01-06-2024,ORD54898,P1003,Tablet,CUST6930,826.13,2,Overnight,Cancelled
06-06-2022,ORD48904,P1007,4K TV,CUST6929,1326.95,1,Standard,Cancelled
01-14-2023,ORD52767,P1005,Wireless Earbuds,CUST2293,1408.16,3,Expedited,Shipped
2022-05-06,ORD98338,P1004,Smartwatch,CUST6207,340.63,4,Standard,Delivered
2021-01-16,ORD30844,P1008,Bluetooth Speaker,CUST5217,603.25,3,Expedited,Shipped
2023-11-05,ORD36216,P1007,4K TV,CUST2073,1304.64,4,Overnight,Shipped
01/23/2020,ORD47689,P1007,4K TV,CUST1845,564.16,1,Standard,Cancelled
10-01-2021,ORD28274,P1009,External Hard Drive,CUST1166,1884.93,2,Overnight,Shipped
05-15-2022,ORD78827,P1010,Mechanical Keyboard,CUST1818,424.99,1,Standard,Cancelled
04/04/2021,ORD17964,P1002,Laptop,CUST2158,856.92,5,Overnight,Pending
10/23/2025,ORD11089,P1003,Tablet,CUST6038,704.17,3,Expedited,Shipped
03-23-2022,ORD41478,P1010,Mechanical Keyboard,CUST5657,522.95,4,Overnight,Delivered
03/04/2022,ORD53522,P1003,Tablet,CUST7654,1027.98,2,Standard,Pending
01/20/2023,ORD62185,P1004,Smartwatch,CUST9593,1301.56,3,Overnight,Cancelled
04/05/2021,ORD91768,P1008,Bluetooth Speaker,CUST2547,1597.66,4,Standard,Shipped
08-05-2024,ORD41198,P1004,Smartwatch,CUST3754,1248.7,3,Standard,Cancelled
08-15-2021,ORD37853,P1007,4K TV,CUST6600,1422.98,2,Standard,Cancelled
08/12/2022,ORD92024,P1003,Tablet,CUST5800,1546.42,2,Expedited,Shipped
2022-05-12,ORD83699,P1010,Mechanical Keyboard,CUST6613,131.66,4,Overnight,Delivered
2024-04-27,ORD91259,P1003,Tablet,CUST6929,43.81,5,Expedited,Shipped
2025-08-26,ORD51457,P1010,Mechanical Keyboard,CUST8684,1909.86,4,Expedited,Shipped
2020-08-23,ORD80208,P1006,Gaming Console,CUST6259,1892.16,2,Overnight,Delivered
2020-03-05,ORD18038,P1002,Laptop,CUST1950,1634.08,2,Standard,Pending
2020-10-02,ORD16899,P1006,Gaming Console,CUST4886,677.47,5,Standard,Pending
04/03/2020,ORD87007,P1003,Tablet,CUST2828,294.0,4,Expedited,Pending
2024-11-23,ORD62361,P1008,Bluetooth Speaker,CUST5331,208.89,4,Expedited,Pending
02/28/2021,ORD85556,P1001,Smartphone,CUST2079,1789.06,2,Overnight,Shipped
06-30-2024,ORD44108,P1004,Smartwatch,CUST9417,39.38,1,Standard,Delivered
2025-06-11,ORD93343,P1006,Gaming Console,CUST5659,1386.49,2,Expedited,Pending
12/15/2024,ORD70588,P1001,Smartphone,CUST4750,230.77,3,Expedited,Cancelled
07/29/2021,ORD98573,P1007,4K TV,CUST3923,612.09,3,Expedited,Shipped
2024-11-10,ORD72630,P1009,External Hard Drive,CUST7940,605.65,3,Expedited,Shipped
2024-02-06,ORD25897,P1010,Mechanical Keyboard,CUST7253,1858.73,5,Overnight,Cancelled
12-05-2025,ORD22309,P1009,External Hard Drive,CUST7654,1728.62,3,Overnight,Shipped
2022-01-16,ORD12603,P1001,Smartphone,CUST4410,646.93,1,Overnight,Shipped
07-11-2022,ORD85577,P1006,Gaming Console,CUST6688,1186.69,2,Expedited,Shipped
01/30/2024,ORD88776,P1005,Wireless Earbuds,CUST5823,1560.85,4,Standard,Pending
09-24-2020,ORD96135,P1003,Tablet,CUST6891,1466.69,5,Expedited,Cancelled
01/29/2023,ORD83644,P1004,Smartwatch,CUST2924,1316.36,1,Overnight,Shipped
2023-07-11,ORD91235,P1008,Bluetooth Speaker,CUST7968,1540.39,4,Overnight,Cancelled
09-10-2021,ORD58482,P1006,Gaming Console,CUST1433,872.89,3,Overnight,Pending
2020-09-26,ORD11453,P1006,Gaming Console,CUST2991,846.86,2,Expedited,Cancelled
04/26/2022,ORD52243,P1001,Smartphone,CUST6666,911.64,4,Expedited,Pending
01/23/2022,ORD86257,P1006,Gaming Console,CUST3006,343.74,5,Standard,Pending
01-28-2025,ORD53044,P1001,Smartphone,CUST1504,1453.79,2,Expedited,Delivered
12-11-2023,ORD43064,P1008,Bluetooth Speaker,CUST1377,157.48,3,Overnight,Cancelled
2020-07-23,ORD59419,P1006,Gaming Console,CUST3693,887.04,5,Overnight,Cancelled
07/08/2024,ORD20158,P1002,Laptop,CUST6207,653.98,4,Standard,Delivered
05/12/2020,ORD57253,P1005,Wireless Earbuds,CUST1088,1967.11,3,Expedited,Pending
03-01-2025,ORD88167,P1006,Gaming Console,CUST2243,1970.08,1,Overnight,Pending
2022-05-23,ORD64758,P1001,Smartphone,CUST3892,1348.85,2,Expedited,Pending
2025-06-19,ORD70083,P1008,Bluetooth Speaker,CUST2991,658.83,1,Expedited,Pending
12-04-2020,ORD69772,P1004,Smartwatch,CUST7968,1265.98,4,Overnight,Cancelled
2021-09-06,ORD56710,P1005,Wireless Earbuds,CUST9797,1238.05,2,Overnight,Cancelled
2022-07-17,ORD95684,P1006,Gaming Console,CUST6911,295.96,1,Expedited,Pending
01-20-2020,ORD82883,P1003,Tablet,CUST5800,374.57,2,Expedited,Cancelled
2020-09-13,ORD77600,P1006,Gaming Console,CUST7289,640.12,2,Overnight,Cancelled
2022-02-03,ORD84898,P1007,4K TV,CUST9134,38.87,3,Standard,Cancelled
2025-05-25,ORD17981,P1005,Wireless Earbuds,CUST4056,603.65,3,Standard,Pending
2020-08-05,ORD88153,P1006,Gaming Console,CUST5802,769.35,4,Overnight,Shipped
06/11/2020,ORD87034,P1003,Tablet,CUST3517,1171.78,1,Standard,Shipped
06-09-2021,ORD53605,P1009,External Hard Drive,CUST4466,1881.96,1,Expedited,Shipped
2022-01-31,ORD28020,P1003,Tablet,CUST8327,1675.98,4,Overnight,Shipped
02/10/2024,ORD28809,P1006,Gaming Console,CUST7102,873.02,1,Expedited,Delivered
07-02-2020,ORD74678,P1002,Laptop,CUST7078,1890.76,2,Expedited,Delivered
02/06/2023,ORD69104,P1005,Wireless Earbuds,CUST1050,1579.18,4,Overnight,Cancelled
12-29-2022,ORD33171,P1010,Mechanical Keyboard,CUST3731,1832.9,1,Overnight,Pending
09/27/2024,ORD94651,P1007,4K TV,CUST7699,636.78,2,Standard,Cancelled
02/19/2025,ORD73153,P1008,Bluetooth Speaker,CUST8736,1939.58,5,Expedited,Cancelled
10/04/2022,ORD83534,P1003,Tablet,CUST1793,1236.81,5,Expedited,Delivered
06-11-2022,ORD80537,P1010,Mechanical Keyboard,CUST2454,973.11,4,Standard,Shipped
10-10-2025,ORD58257,P1004,Smartwatch,CUST1054,1856.42,3,Expedited,Shipped
08/13/2024,ORD75450,P1009,External Hard Drive,CUST8245,1799.05,3,Expedited,Pending
01/24/2020,ORD38587,P1006,Gaming Console,CUST6650,1647.81,1,Overnight,Delivered
11-02-2020,ORD18951,P1002,Laptop,CUST9003,264.58,5,Expedited,Pending
2024-02-01,ORD68447,P1001,Smartphone,CUST8736,621.2,3,Overnight,Pending
09-11-2024,ORD67389,P1007,4K TV,CUST4928,506.29,5,Overnight,Cancelled
03/31/2024,ORD40542,P1001,Smartphone,CUST9629,1615.24,5,Standard,Pending
2025-03-17,ORD42424,P1007,4K TV,CUST8368,458.09,5,Standard,Shipped
12-07-2025,ORD90253,P1007,4K TV,CUST2584,619.79,2,Standard,Cancelled
10/26/2023,ORD12443,P1005,Wireless Earbuds,CUST4283,1231.96,3,Overnight,Cancelled
2020-10-24,ORD12921,P1006,Gaming Console,CUST1519,292.46,4,Expedited,Cancelled
2025-10-19,ORD21856,P1001,Smartphone,CUST4267,1106.38,4,Expedited,Shipped
03/26/2025,ORD46305,P1005,Wireless Earbuds,CUST8749,1107.87,2,Expedited,Pending
2024-05-22,ORD26425,P1009,External Hard Drive,CUST8671,726.4,3,Expedited,Delivered
2023-02-23,ORD62518,P1003,Tablet,CUST1871,336.26,4,Overnight,Shipped
2021-05-16,ORD93150,P1003,Tablet,CUST5985,1654.43,1,Overnight,Pending
10-20-2023,ORD33111,P1007,4K TV,CUST1391,715.08,2,Expedited,Shipped
04-08-2021,ORD83606,P1001,Smartphone,CUST2343,594.62,1,Standard,Pending
2021-03-13,ORD74406,P1005,Wireless Earbuds,CUST9717,923.22,4,Expedited,Cancelled
08/23/2021,ORD99152,P1010,Mechanical Keyboard,CUST1073,1495.88,4,Overnight,Pending
