Invoice Number,Customer Name,Invoice Date,Due Date,Amount Owed ($),Payment Status
INV1050,Customer 15,2024-06-02,2024-07-17,7483.12,Overdue
INV1051,Customer 10,2024-06-21,2024-08-05,13841.37,Overdue
INV1052,Customer 19,2024-06-21,2024-08-05,14017.27,Overdue
INV1053,Customer 20,2024-06-12,2024-07-27,8915.2,Paid
INV1054,Customer 17,2024-06-17,2024-08-16,24491.55,Paid
INV1055,Customer 14,2024-06-17,2024-07-17,45400.53,Paid
INV1056,Customer 3,2024-06-16,2024-07-16,26864.82,Overdue
INV1057,Customer 2,2024-06-11,2024-07-26,12398.84,Overdue
INV1058,Customer 14,2024-06-14,2024-07-29,21880.26,Overdue
INV1059,Customer 17,2024-06-12,2024-07-12,3411.63,Paid
INV1060,Customer 14,2024-06-10,2024-07-25,30011.27,Overdue
INV1061,Customer 16,2024-06-19,2024-08-03,13188.44,Overdue
INV1062,Customer 15,2024-06-27,2024-08-26,2792.04,Overdue
INV1063,Customer 13,2024-06-20,2024-08-04,34288.47,Overdue
INV1064,Customer 5,2024-06-12,2024-07-12,39335.66,Overdue
INV1065,Customer 1,2024-06-02,2024-08-01,22531.73,Paid
INV1066,Customer 17,2024-06-03,2024-08-02,29721.17,Overdue
INV1067,Customer 14,2024-06-16,2024-08-15,6520.73,Paid
INV1068,Customer 14,2024-06-19,2024-08-03,31715.13,Paid
INV1069,Customer 1,2024-06-09,2024-08-08,5038.87,Unpaid
INV1070,Customer 4,2024-06-25,2024-08-09,3226.76,Overdue
INV1071,Customer 12,2024-06-10,2024-07-10,25598.98,Overdue
INV1072,Customer 5,2024-06-12,2024-07-27,40896.23,Overdue
INV1073,Customer 13,2024-06-28,2024-07-28,42620.44,Overdue
INV1074,Customer 18,2024-06-27,2024-08-11,44791.13,Paid
INV1075,Customer 2,2024-06-06,2024-08-05,31371.5,Paid
INV1076,Customer 18,2024-06-15,2024-08-14,16835.73,Paid
INV1077,Customer 19,2024-06-06,2024-07-21,14814.96,Unpaid
INV1078,Customer 6,2024-06-12,2024-08-11,49269.7,Paid
INV1079,Customer 11,2024-06-23,2024-07-23,500.98,Overdue
INV1080,Customer 8,2024-06-22,2024-07-22,13473.56,Overdue
INV1081,Customer 9,2024-06-09,2024-07-24,25719.69,Overdue
INV1082,Customer 16,2024-06-04,2024-07-04,26325.21,Overdue
INV1083,Customer 20,2024-06-16,2024-07-16,15960.36,Overdue
INV1084,Customer 7,2024-06-10,2024-08-09,26092.09,Paid
INV1085,Customer 10,2024-06-15,2024-07-30,6285.33,Unpaid
INV1086,Customer 13,2024-06-15,2024-07-30,1845.79,Overdue
INV1087,Customer 9,2024-06-09,2024-08-08,2978.68,Overdue
INV1088,Customer 9,2024-06-01,2024-07-31,5746.95,Unpaid
INV1089,Customer 9,2024-06-07,2024-07-22,31303.64,Overdue
INV1090,Customer 14,2024-06-25,2024-08-09,12262.45,Paid
INV1091,Customer 7,2024-06-13,2024-08-12,37223.92,Paid
INV1092,Customer 5,2024-06-09,2024-07-09,44378.36,Overdue
INV1093,Customer 6,2024-06-27,2024-08-11,31451.64,Overdue
INV1094,Customer 9,2024-06-21,2024-08-20,22782.34,Overdue
INV1095,Customer 4,2024-06-14,2024-08-13,9125.0,Overdue
INV1096,Customer 8,2024-06-06,2024-07-06,29730.77,Overdue
INV1097,Customer 18,2024-06-16,2024-08-15,43765.4,Overdue
INV1098,Customer 7,2024-06-02,2024-07-17,4864.37,Paid
INV1099,Customer 5,2024-06-07,2024-08-06,43867.64,Overdue
