Invoice Number,Customer Name,Invoice Date,Due Date,Amount Owed ($),Payment Status
INV1083,Customer 20,2024-10-17,2024-12-16,15960.36,Overdue
INV1084,Customer 7,2024-10-03,2024-11-17,26092.09,Paid
INV1085,Customer 10,2024-10-21,2024-11-20,6285.33,Unpaid
INV1086,Customer 13,2024-10-03,2024-11-17,1845.79,Overdue
INV1087,Customer 9,2024-10-10,2024-11-09,2978.68,Overdue
INV1088,Customer 9,2024-10-26,2024-12-25,5746.95,Unpaid
INV1089,Customer 9,2024-10-28,2024-12-12,31303.64,Overdue
INV1090,Customer 14,2024-10-11,2024-11-10,12262.45,Paid
INV1091,Customer 7,2024-10-22,2024-11-21,37223.92,Paid
INV1092,Customer 5,2024-10-11,2024-11-25,44378.36,Overdue
INV1093,Customer 6,2024-10-05,2024-11-19,31451.64,Overdue
INV1094,Customer 9,2024-10-05,2024-11-19,22782.34,Overdue
INV1095,Customer 4,2024-10-05,2024-11-04,9125.0,Overdue
INV1096,Customer 8,2024-10-11,2024-11-25,29730.77,Overdue
INV1097,Customer 18,2024-10-28,2024-12-12,43765.4,Overdue
INV1098,Customer 7,2024-10-27,2024-12-26,4864.37,Paid
INV1099,Customer 5,2024-10-10,2024-11-09,43867.64,Overdue
