Customer Name,Invoice Number,Invoice Date,Due Date,Amount Owed ($),Payment Status,Days Past Due
Customer 13,INV1040,2024-12-20,2025-02-03,47024.61,Overdue,0
Customer 7,INV1041,2024-12-10,2025-02-08,8933.35,Overdue,-5
Customer 18,INV1042,2024-12-15,2025-01-29,26003.37,Overdue,5
Customer 11,INV1043,2024-12-25,2025-01-24,20230.45,Overdue,10
Customer 15,INV1044,2024-12-26,2025-02-09,6288.54,Overdue,-6
Customer 4,INV1045,2024-12-28,2025-02-26,12755.32,Overdue,-23
Customer 8,INV1046,2024-12-16,2025-01-30,43302.64,Overdue,4
Customer 2,INV1047,2024-12-27,2025-02-25,15695.01,Paid,0
Customer 15,INV1048,2024-12-08,2025-02-06,38803.84,Paid,0
Customer 13,INV1049,2024-12-18,2025-02-16,33532.98,Overdue,-13
Customer 15,INV1050,2024-12-17,2025-02-15,7483.12,Overdue,-12
Customer 10,INV1051,2024-12-19,2025-01-18,13841.37,Overdue,16
Customer 19,INV1052,2024-12-09,2025-02-07,14017.27,Overdue,-4
Customer 20,INV1053,2024-12-22,2025-02-05,8915.2,Paid,0
Customer 17,INV1054,2024-12-01,2025-01-15,24491.55,Paid,0
Customer 14,INV1055,2024-12-28,2025-02-11,45400.53,Paid,0
Customer 3,INV1056,2024-12-06,2025-01-05,26864.82,Overdue,29
Customer 2,INV1057,2024-12-03,2025-02-01,12398.84,Overdue,2
Customer 14,INV1058,2024-12-20,2025-02-18,21880.26,Overdue,-15
Customer 17,INV1059,2024-12-04,2025-01-03,3411.63,Paid,0
Customer 14,INV1060,2024-12-22,2025-02-05,30011.27,Overdue,-2
Customer 16,INV1061,2024-12-11,2025-01-25,13188.44,Overdue,9
Customer 15,INV1062,2024-12-21,2025-02-04,2792.04,Overdue,-1
Customer 13,INV1063,2024-12-16,2025-01-30,34288.47,Overdue,4
Customer 5,INV1064,2024-12-12,2025-01-26,39335.66,Overdue,8
Customer 1,INV1065,2024-12-05,2025-02-03,22531.73,Paid,0
Customer 17,INV1066,2024-12-06,2025-01-05,29721.17,Overdue,29
Customer 14,INV1067,2024-12-22,2025-02-05,6520.73,Paid,0
Customer 14,INV1068,2024-12-28,2025-02-26,31715.13,Paid,0
Customer 1,INV1069,2024-12-17,2025-01-31,5038.87,Unpaid,0
Customer 4,INV1070,2024-12-25,2025-02-23,3226.76,Overdue,-20
Customer 12,INV1071,2024-12-26,2025-02-24,25598.98,Overdue,-21
Customer 5,INV1072,2024-12-12,2025-01-26,40896.23,Overdue,8
Customer 13,INV1073,2024-12-05,2025-02-03,42620.44,Overdue,0
Customer 18,INV1074,2024-12-26,2025-02-24,44791.13,Paid,0
Customer 2,INV1075,2024-12-28,2025-02-11,31371.5,Paid,0
Customer 18,INV1076,2024-12-14,2025-02-12,16835.73,Paid,0
Customer 19,INV1077,2024-12-06,2025-02-04,14814.96,Unpaid,0
Customer 6,INV1078,2024-12-16,2025-01-30,49269.7,Paid,0
Customer 11,INV1079,2024-12-10,2025-01-09,500.98,Overdue,25
Customer 8,INV1080,2024-12-01,2025-01-15,13473.56,Overdue,19
Customer 9,INV1081,2024-12-27,2025-01-26,25719.69,Overdue,8
Customer 16,INV1082,2024-12-24,2025-02-07,26325.21,Overdue,-4
Customer 20,INV1083,2024-12-08,2025-01-07,15960.36,Overdue,27
Customer 7,INV1084,2024-12-20,2025-01-19,26092.09,Paid,0
Customer 10,INV1085,2024-12-01,2025-01-15,6285.33,Unpaid,0
Customer 13,INV1086,2024-12-19,2025-02-02,1845.79,Overdue,1
Customer 9,INV1087,2024-12-13,2025-02-11,2978.68,Overdue,-8
Customer 9,INV1088,2024-12-28,2025-02-26,5746.95,Unpaid,0
Customer 9,INV1089,2024-12-24,2025-01-23,31303.64,Overdue,11
Customer 14,INV1090,2024-12-14,2025-01-13,12262.45,Paid,0
Customer 7,INV1091,2024-12-18,2025-01-17,37223.92,Paid,0
Customer 5,INV1092,2024-12-16,2025-02-14,44378.36,Overdue,-11
Customer 6,INV1093,2024-12-07,2025-01-21,31451.64,Overdue,13
Customer 9,INV1094,2024-12-04,2025-01-03,22782.34,Overdue,31
Customer 4,INV1095,2024-12-12,2025-01-11,9125.0,Overdue,23
Customer 8,INV1096,2024-12-26,2025-02-09,29730.77,Overdue,-6
Customer 18,INV1097,2024-12-19,2025-01-18,43765.4,Overdue,16
Customer 7,INV1098,2024-12-15,2025-01-29,4864.37,Paid,0
Customer 5,INV1099,2024-12-05,2025-02-03,43867.64,Overdue,0
