Invoice Number,Customer Name,Invoice Date,Due Date,Amount Owed ($),Payment Status
INV1030,Customer 10,2024-05-17,2024-07-01,23021.01,Overdue
INV1031,Customer 17,2024-05-25,2024-07-24,25153.24,Paid
INV1032,Customer 18,2024-05-03,2024-06-17,48992.92,Paid
INV1033,Customer 6,2024-05-02,2024-07-01,16067.8,Paid
INV1034,Customer 20,2024-05-28,2024-07-12,37936.45,Paid
INV1035,Customer 1,2024-05-24,2024-07-08,14959.75,Paid
INV1036,Customer 14,2024-05-16,2024-07-15,35986.85,Paid
INV1037,Customer 20,2024-05-17,2024-07-01,19305.87,Overdue
INV1038,Customer 13,2024-05-02,2024-06-16,22883.38,Overdue
INV1039,Customer 6,2024-05-15,2024-06-14,1597.83,Paid
INV1040,Customer 13,2024-05-06,2024-06-20,47024.61,Overdue
INV1041,Customer 7,2024-05-20,2024-06-19,8933.35,Overdue
INV1042,Customer 18,2024-05-11,2024-06-10,26003.37,Overdue
INV1043,Customer 11,2024-05-26,2024-06-25,20230.45,Overdue
INV1044,Customer 15,2024-05-23,2024-07-07,6288.54,Overdue
INV1045,Customer 4,2024-05-08,2024-06-07,12755.32,Overdue
INV1046,Customer 8,2024-05-13,2024-06-12,43302.64,Overdue
INV1047,Customer 2,2024-05-25,2024-06-24,15695.01,Paid
INV1048,Customer 15,2024-05-02,2024-06-16,38803.84,Paid
INV1049,Customer 13,2024-05-07,2024-06-21,33532.98,Overdue
INV1050,Customer 15,2024-05-25,2024-07-09,7483.12,Overdue
INV1051,Customer 10,2024-05-22,2024-06-21,13841.37,Overdue
INV1052,Customer 19,2024-05-02,2024-06-16,14017.27,Overdue
INV1053,Customer 20,2024-05-25,2024-07-09,8915.2,Paid
INV1054,Customer 17,2024-05-21,2024-07-05,24491.55,Paid
INV1055,Customer 14,2024-05-11,2024-07-10,45400.53,Paid
INV1056,Customer 3,2024-05-24,2024-07-08,26864.82,Overdue
INV1057,Customer 2,2024-05-03,2024-06-02,12398.84,Overdue
INV1058,Customer 14,2024-05-15,2024-06-29,21880.26,Overdue
INV1059,Customer 17,2024-05-05,2024-06-04,3411.63,Paid
INV1060,Customer 14,2024-05-07,2024-06-21,30011.27,Overdue
INV1061,Customer 16,2024-05-26,2024-07-10,13188.44,Overdue
INV1062,Customer 15,2024-05-23,2024-07-22,2792.04,Overdue
INV1063,Customer 13,2024-05-23,2024-07-07,34288.47,Overdue
INV1064,Customer 5,2024-05-21,2024-07-05,39335.66,Overdue
INV1065,Customer 1,2024-05-12,2024-07-11,22531.73,Paid
INV1066,Customer 17,2024-05-02,2024-06-16,29721.17,Overdue
INV1067,Customer 14,2024-05-19,2024-07-18,6520.73,Paid
INV1068,Customer 14,2024-05-06,2024-06-05,31715.13,Paid
INV1069,Customer 1,2024-05-02,2024-07-01,5038.87,Unpaid
INV1070,Customer 4,2024-05-06,2024-06-05,3226.76,Overdue
INV1071,Customer 12,2024-05-11,2024-07-10,25598.98,Overdue
INV1072,Customer 5,2024-05-07,2024-07-06,40896.23,Overdue
INV1073,Customer 13,2024-05-19,2024-06-18,42620.44,Overdue
INV1074,Customer 18,2024-05-05,2024-06-04,44791.13,Paid
INV1075,Customer 2,2024-05-07,2024-06-06,31371.5,Paid
INV1076,Customer 18,2024-05-26,2024-07-10,16835.73,Paid
INV1077,Customer 19,2024-05-11,2024-06-25,14814.96,Unpaid
INV1078,Customer 6,2024-05-01,2024-06-15,49269.7,Paid
INV1079,Customer 11,2024-05-08,2024-06-07,500.98,Overdue
INV1080,Customer 8,2024-05-18,2024-07-02,13473.56,Overdue
INV1081,Customer 9,2024-05-14,2024-06-28,25719.69,Overdue
INV1082,Customer 16,2024-05-02,2024-07-01,26325.21,Overdue
INV1083,Customer 20,2024-05-13,2024-06-27,15960.36,Overdue
INV1084,Customer 7,2024-05-07,2024-06-21,26092.09,Paid
INV1085,Customer 10,2024-05-14,2024-07-13,6285.33,Unpaid
INV1086,Customer 13,2024-05-25,2024-07-09,1845.79,Overdue
INV1087,Customer 9,2024-05-08,2024-06-22,2978.68,Overdue
INV1088,Customer 9,2024-05-03,2024-07-02,5746.95,Unpaid
INV1089,Customer 9,2024-05-08,2024-06-22,31303.64,Overdue
INV1090,Customer 14,2024-05-17,2024-07-16,12262.45,Paid
INV1091,Customer 7,2024-05-13,2024-06-12,37223.92,Paid
INV1092,Customer 5,2024-05-10,2024-06-09,44378.36,Overdue
INV1093,Customer 6,2024-05-21,2024-06-20,31451.64,Overdue
INV1094,Customer 9,2024-05-19,2024-06-18,22782.34,Overdue
INV1095,Customer 4,2024-05-26,2024-06-25,9125.0,Overdue
INV1096,Customer 8,2024-05-12,2024-06-11,29730.77,Overdue
INV1097,Customer 18,2024-05-21,2024-07-05,43765.4,Overdue
INV1098,Customer 7,2024-05-13,2024-06-27,4864.37,Paid
INV1099,Customer 5,2024-05-09,2024-06-08,43867.64,Overdue
