Invoice Number,Customer Name,Invoice Date,Due Date,Amount Owed ($),Payment Status
INV1072,Customer 5,2024-09-28,2024-10-28,40896.23,Overdue
INV1073,Customer 13,2024-09-15,2024-10-30,42620.44,Overdue
INV1074,Customer 18,2024-09-02,2024-10-02,44791.13,Paid
INV1075,Customer 2,2024-09-13,2024-10-13,31371.5,Paid
INV1076,Customer 18,2024-09-12,2024-10-27,16835.73,Paid
INV1077,Customer 19,2024-09-25,2024-11-09,14814.96,Unpaid
INV1078,Customer 6,2024-09-18,2024-11-17,49269.7,Paid
INV1079,Customer 11,2024-09-16,2024-11-15,500.98,Overdue
INV1080,Customer 8,2024-09-27,2024-11-11,13473.56,Overdue
INV1081,Customer 9,2024-09-06,2024-10-06,25719.69,Overdue
INV1082,Customer 16,2024-09-14,2024-10-29,26325.21,Overdue
INV1083,Customer 20,2024-09-13,2024-11-12,15960.36,Overdue
INV1084,Customer 7,2024-09-14,2024-11-13,26092.09,Paid
INV1085,Customer 10,2024-09-13,2024-11-12,6285.33,Unpaid
INV1086,Customer 13,2024-09-02,2024-10-17,1845.79,Overdue
INV1087,Customer 9,2024-09-15,2024-10-30,2978.68,Overdue
INV1088,Customer 9,2024-09-18,2024-11-17,5746.95,Unpaid
INV1089,Customer 9,2024-09-28,2024-11-27,31303.64,Overdue
INV1090,Customer 14,2024-09-28,2024-11-27,12262.45,Paid
INV1091,Customer 7,2024-09-20,2024-10-20,37223.92,Paid
INV1092,Customer 5,2024-09-19,2024-11-03,44378.36,Overdue
INV1093,Customer 6,2024-09-26,2024-11-10,31451.64,Overdue
INV1094,Customer 9,2024-09-27,2024-10-27,22782.34,Overdue
INV1095,Customer 4,2024-09-13,2024-10-28,9125.0,Overdue
INV1096,Customer 8,2024-09-16,2024-10-31,29730.77,Overdue
INV1097,Customer 18,2024-09-22,2024-10-22,43765.4,Overdue
INV1098,Customer 7,2024-09-06,2024-10-06,4864.37,Paid
INV1099,Customer 5,2024-09-25,2024-11-24,43867.64,Overdue
