Invoice Number,Customer Name,Invoice Date,Due Date,Amount Owed ($),Payment Status
INV1066,Customer 17,2024-04-07,2024-05-22,29721.17,Overdue
INV1067,Customer 14,2024-04-21,2024-05-21,6520.73,Paid
INV1068,Customer 14,2024-04-22,2024-06-21,31715.13,Paid
INV1069,Customer 1,2024-04-17,2024-06-01,5038.87,Unpaid
INV1070,Customer 4,2024-04-10,2024-05-10,3226.76,Overdue
INV1071,Customer 12,2024-04-27,2024-05-27,25598.98,Overdue
INV1072,Customer 5,2024-04-15,2024-05-15,40896.23,Overdue
INV1073,Customer 13,2024-04-28,2024-06-27,42620.44,Overdue
INV1074,Customer 18,2024-04-16,2024-05-31,44791.13,Paid
INV1075,Customer 2,2024-04-17,2024-05-17,31371.5,Paid
INV1076,Customer 18,2024-04-13,2024-05-28,16835.73,Paid
INV1077,Customer 19,2024-04-11,2024-06-10,14814.96,Unpaid
INV1078,Customer 6,2024-04-08,2024-05-23,49269.7,Paid
INV1079,Customer 11,2024-04-03,2024-05-18,500.98,Overdue
INV1080,Customer 8,2024-04-03,2024-05-03,13473.56,Overdue
INV1081,Customer 9,2024-04-22,2024-05-22,25719.69,Overdue
INV1082,Customer 16,2024-04-03,2024-05-18,26325.21,Overdue
INV1083,Customer 20,2024-04-09,2024-05-24,15960.36,Overdue
INV1084,Customer 7,2024-04-15,2024-05-15,26092.09,Paid
INV1085,Customer 10,2024-04-14,2024-05-14,6285.33,Unpaid
INV1086,Customer 13,2024-04-18,2024-06-02,1845.79,Overdue
INV1087,Customer 9,2024-04-15,2024-05-15,2978.68,Overdue
INV1088,Customer 9,2024-04-19,2024-06-03,5746.95,Unpaid
INV1089,Customer 9,2024-04-08,2024-06-07,31303.64,Overdue
INV1090,Customer 14,2024-04-16,2024-06-15,12262.45,Paid
INV1091,Customer 7,2024-04-17,2024-06-16,37223.92,Paid
INV1092,Customer 5,2024-04-19,2024-06-03,44378.36,Overdue
INV1093,Customer 6,2024-04-20,2024-06-04,31451.64,Overdue
INV1094,Customer 9,2024-04-13,2024-05-28,22782.34,Overdue
INV1095,Customer 4,2024-04-17,2024-05-17,9125.0,Overdue
INV1096,Customer 8,2024-04-12,2024-05-27,29730.77,Overdue
INV1097,Customer 18,2024-04-23,2024-06-07,43765.4,Overdue
INV1098,Customer 7,2024-04-03,2024-05-18,4864.37,Paid
INV1099,Customer 5,2024-04-18,2024-06-17,43867.64,Overdue
